                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                      0,                  50.23,                      0,                0.00041,                0.01294,                0.00022,                  6e-05,                 3.6441,                    inf,                 4.5026,              0.0010729,              0.0010729,              0.0010729
                     38,                      0,                 49.959,                      0,                0.00041,                0.01294,                0.00022,                  6e-05,                 3.8605,                    inf,                 15.708,              0.0010564,              0.0010564,              0.0010564
                     39,                      0,                 49.564,                      0,                  2e-05,                0.00081,                  1e-05,                      0,                 4.1744,                 47.154,                 11.506,              0.0010399,              0.0010399,              0.0010399
                     40,                      0,                 49.025,                      0,                  9e-05,                0.00324,                  5e-05,                      0,                 4.2273,                 22.187,                 5.6773,              0.0010234,              0.0010234,              0.0010234
                     41,                      0,                  48.42,                      0,                  9e-05,                0.00324,                  5e-05,                      0,                 4.2273,                 22.187,                 5.6773,              0.0010069,              0.0010069,              0.0010069
                     42,                      0,                 48.058,                      0,                  6e-05,                0.00794,                  4e-05,                  1e-05,                 4.0056,                 10.934,                 3.4349,             0.00099036,             0.00099036,             0.00099036
                     43,                      0,                 47.669,                      0,                  2e-05,                0.00397,                  1e-05,                      0,                 4.0079,                 6.9945,                 4.8686,             0.00097386,             0.00097386,             0.00097386
                     44,                      0,                 47.484,                      0,                  6e-05,                0.00794,                  4e-05,                  1e-05,                 4.0401,                 4.6217,                 4.0322,             0.00095736,             0.00095736,             0.00095736
                     45,                      0,                 46.336,                      0,                  6e-05,                0.00794,                  4e-05,                  1e-05,                 4.0401,                 4.6217,                 4.0322,             0.00094085,             0.00094085,             0.00094085
                     46,                      0,                 46.193,                      0,                  2e-05,                0.00081,                  1e-05,                      0,                 4.0975,                 4.5331,                  2.758,             0.00092435,             0.00092435,             0.00092435
                     47,                      0,                 45.848,                      0,                  3e-05,                0.00397,                  2e-05,                      0,                 4.1417,                 4.5584,                 2.7719,             0.00090785,             0.00090785,             0.00090785
                     48,                      0,                 45.124,                      0,                  5e-05,                0.00162,                  2e-05,                      0,                 4.0468,                 4.5606,                 2.6734,             0.00089134,             0.00089134,             0.00089134
                     49,                      0,                 44.561,                      0,                  5e-05,                0.00162,                  2e-05,                      0,                 4.0468,                 4.5606,                 2.6734,             0.00087484,             0.00087484,             0.00087484
                     50,                      0,                 44.353,                      0,                  5e-05,                0.00162,                  2e-05,                      0,                 4.1185,                  4.566,                  2.738,             0.00085834,             0.00085834,             0.00085834
                     51,                      0,                  44.13,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.2488,                 4.5827,                 2.8166,             0.00084184,             0.00084184,             0.00084184
                     52,                      0,                 43.523,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.2681,                 4.5834,                 2.8272,             0.00082533,             0.00082533,             0.00082533
                     53,                      0,                  43.02,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.2681,                 4.5834,                 2.8272,             0.00080883,             0.00080883,             0.00080883
