                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6612,                 3.7199,                 1.1093,                 0.0118,                0.50415,                0.02973,                0.01557,                  1.375,                 3.4338,                0.92242,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.2941,                 1.5487,                0.93594,                0.01773,                0.88825,                0.34178,                0.23322,                 1.1731,                 3.0358,                0.88694,             0.00031516,             0.00031516,             0.00031516
                      3,                 1.1937,                 1.1602,                0.94111,                0.01744,                0.92338,                0.41685,                0.27798,                 1.1795,                 2.8577,                0.90465,             0.00047864,             0.00047864,             0.00047864
                      4,                 1.2101,                0.94712,                0.93324,                0.01532,                0.78331,                0.49169,                0.32685,                 1.1311,                 2.8572,                0.91561,             0.00064048,             0.00064048,             0.00064048
                      5,                 1.1149,                0.83086,                0.92352,                0.01661,                0.89688,                 0.6208,                0.40981,                 1.1123,                 2.5961,                0.91279,             0.00080066,             0.00080066,             0.00080066
                      6,                 1.1231,                0.77676,                0.92212,                0.99822,                0.22247,                 0.9307,                0.61398,                 1.1362,                 2.1865,                 0.9067,             0.00095919,             0.00095919,             0.00095919
                      7,                 1.0781,                0.72958,                  0.916,                0.98936,                0.52232,                0.93001,                0.61909,                 1.1379,                 2.0634,                0.91385,              0.0011161,              0.0011161,              0.0011161
                      8,                 1.1364,                0.73234,                0.92144,                0.99548,                0.46519,                0.91078,                0.59756,                 1.1758,                 1.7879,                0.93353,              0.0012713,              0.0012713,              0.0012713
                      9,                 1.1774,                0.76978,                0.93383,                0.99703,                0.72368,                0.94892,                0.59404,                  1.333,                 1.7018,                0.94675,              0.0014249,              0.0014249,              0.0014249
                     10,                 1.1748,                0.76103,                0.93794,                0.99224,                0.94035,                0.98133,                0.65871,                 1.1398,                 1.1851,                0.90649,              0.0015768,              0.0015768,              0.0015768
                     11,                 1.1429,                0.72552,                0.92402,                0.99687,                0.89766,                0.98264,                0.65753,                 1.1864,                 1.0626,                0.92881,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0784,                0.70039,                0.91071,                0.96553,                0.95973,                0.98326,                0.65559,                 1.1474,                0.84715,                0.91432,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1089,                0.68952,                0.90591,                0.96257,                0.94381,                0.98036,                0.63525,                 1.1464,                0.77771,                0.91836,               0.001568,               0.001568,               0.001568
                     14,                 1.0806,                0.69608,                0.91234,                 0.9916,                0.89782,                0.95491,                0.65362,                 1.1293,                0.79606,                0.91307,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0831,                 0.6555,                0.90908,                0.98995,                0.96914,                0.98044,                0.65346,                 1.0866,                0.70147,                0.91069,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0889,                 0.6656,                 0.9051,                0.97998,                0.91667,                0.96396,                0.66609,                 1.1109,                 0.7412,                0.91141,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0586,                0.66148,                0.89982,                0.97767,                0.92901,                0.97326,                0.68367,                 1.0338,                0.64148,                0.89368,               0.001535,               0.001535,               0.001535
